"Question_Number","Part","Subject","Context_Passage","Question_English","Question_Hindi","Option_A_English","Option_A_Hindi","Option_B_English","Option_B_Hindi","Option_C_English","Option_C_Hindi","Option_D_English","Option_D_Hindi","Correct_Option_Key","Explanation_Hindi"
"34","Part-II","Hindi","","","'विरहनी बावरी सी भई ऊँची चढ़ि अपने भवन में टेरत हाय दई ले अंचरा मुख अँसुवन पोंछत उघरे गात सही-' किसकी पंक्ति है?","","मीराबाई","","सहजाबाई","","झीमा चारिणी","","दयाबाई","a","बिरहनी बाबरी सी भई ....... पंक्ति मीराबाई द्वारा रचित है। श्रीकृष्ण भक्ति रस की महान कवयित्री मीराबाई का जन्म राजस्थान के चौकड़ी नामक ग्राम में राजा रत्न सिंह के महल में हुआ था। मीराबाई के रचनाओं में इनके हृदय की विहलता देखने को मिलती है। इनकी रचनाएँ- नरसी जी का मायरा, रागगोविन्द, गीत गोविन्द की टीका, मीराबाई का मलार, मीरा पदावली आदि है। सहजोबाई संत कवयित्री हैं ये और दयाबाई दोनों बहनें है। इनका समय 18वीं शताब्दी का है। इनके गुरू का नाम चरण दास था। रचना सहजप्रकाश। दयाबाई- संत कवयित्री हैं। इनके भी गुरू का नाम चरण दास था। रचना- दयाबोध, विनयमालिका (इसमें मीरा के विषपान का उल्लेख है)"
"35","Part-II","Hindi","","","हिन्दी का पहला पत्र है-","","इतिहास तिमिरनाशक","","उदंत मार्तण्ड","","बनारस अखबार","","हरिश्चन्द्र मैगजीन","b","'उदंत मार्तण्ड' को हिन्दी का पहला पत्र माना जाता है। इसका प्रकाशन 30 मई 1826 ई. में कलकत्ता से एक साप्ताहिक पत्रिका के रूप में प्रारम्भ हुआ। इसी के आधार पर 30 मई को हिन्दी पत्रकारिता दिवस मनाया जाता है। 'बनारस अखबार' का प्रकाशन 1845 ई. में राजा शिवप्रसाद 'सितार हिन्द' ने काशी स किया। हरिश्चन्द्र मैगजीन एक मासिक पत्रिका थी जिसका प्रकाशन 1873 ई. में भारतेन्दु हरिश्चन्द्र जी ने काशी से किया था। 'इतिहास तिमिरनाशक' एक पुस्तक है जिसके लेखक राजा शिव प्रसाद 'सितारे हिन्द' है।"
"36","Part-II","Hindi","धर्म पालन करने के मार्ग में सबसे अधिक बाधा चित्त की चंचलता, उद्देश्य की अस्थिरता और मन की निर्बलता से पड़ती है। मनुष्य के कर्तव्य मार्ग में एक ओर ते आत्मा के बुरे भले कामों का ज्ञान दूसरी ओर आलस्य और स्वार्थपरक रही है। बस मनुष्य इन्हीं दोनों के बीच में पड़ा रहा है। अंत में यदि उसका मन पक्का हुआ, तो वह आत्मा की आज्ञा मानकर अपना धर्म पाालन करता है, पर उसका मन दुविधा में पड़ रह है, तो स्वार्थपरता उसे निश्चित ही घरेगी और उसका चरित्र घृणा के योग्य हो जायेगा। इसलिए यह बहुत आवश्यक है कि आत्मा जिस बात को करने की प्रवृत्ति दे, उसे बिना स्वार्थ सोचें, झटपट कर डालना चाहिए। इस संसार में जितने बड़े बड़े लोग हुए हैं सभी ने अपने कर्त्तव्य को सबसे श्रेष्ठ माना है, क्योंकि जितने कर्म उन्होंने किए उन सबने अपने कर्त्तव्य पर ध्यान देकर न्याय का बर्ताव किया। जिन जातियों में यह गुण पाया जाता है। वे ही संसार में उन्नति करती है और संसार में उनका नाम आदर से लिया जता है। जो लोग स्वार्थी होकर अपने कर्त्तव्य पर ध्यान नहीं देते, वे संसार में लज्जित होते हैं और सब लोग उनसे घृणा करते हैं।","","धर्म पालन करने में बाधा डालने वाली प्रवृत्तियाँ कौन सी है?","","धर्म का ज्ञान न होना।","","कमजोर मन, उद्देश्य का निश्चित न होना तथा मनोवृत्ति का होना।","","आलस्य की अधिकता।","","जानकारी की कमी।","b","धर्म पालन करने में बाधा डालने वाली प्रवृत्तियाँ है कमजोर मन, उद्देश्य का निश्चित न होना तथा चंचल मनोवृत्ति का होना।"
"37","Part-II","Hindi","धर्म पालन करने के मार्ग में सबसे अधिक बाधा चित्त की चंचलता, उद्देश्य की अस्थिरता और मन की निर्बलता से पड़ती है। मनुष्य के कर्तव्य मार्ग में एक ओर ते आत्मा के बुरे भले कामों का ज्ञान दूसरी ओर आलस्य और स्वार्थपरक रही है। बस मनुष्य इन्हीं दोनों के बीच में पड़ा रहा है। अंत में यदि उसका मन पक्का हुआ, तो वह आत्मा की आज्ञा मानकर अपना धर्म पाालन करता है, पर उसका मन दुविधा में पड़ रह है, तो स्वार्थपरता उसे निश्चित ही घरेगी और उसका चरित्र घृणा के योग्य हो जायेगा। इसलिए यह बहुत आवश्यक है कि आत्मा जिस बात को करने की प्रवृत्ति दे, उसे बिना स्वार्थ सोचें, झटपट कर डालना चाहिए। इस संसार में जितने बड़े बड़े लोग हुए हैं सभी ने अपने कर्त्तव्य को सबसे श्रेष्ठ माना है, क्योंकि जितने कर्म उन्होंने किए उन सबने अपने कर्त्तव्य पर ध्यान देकर न्याय का बर्ताव किया। जिन जातियों में यह गुण पाया जाता है। वे ही संसार में उन्नति करती है और संसार में उनका नाम आदर से लिया जता है। जो लोग स्वार्थी होकर अपने कर्त्तव्य पर ध्यान नहीं देते, वे संसार में लज्जित होते हैं और सब लोग उनसे घृणा करते हैं।","","संसार के बड़े-बड़े लोगों ने सबसे श्रेष्ठ माना है-","","सदाचर को","","उत्तम चरित्र को","","परोपकार को","","अपने कर्त्तव्य को","d","संसार के बड़े-बड़े लोगों ने सबसे श्रेष्ठ अपने कर्त्तव्य का माना है।"
"38","Part-II","Hindi","धर्म पालन करने के मार्ग में सबसे अधिक बाधा चित्त की चंचलता, उद्देश्य की अस्थिरता और मन की निर्बलता से पड़ती है। मनुष्य के कर्तव्य मार्ग में एक ओर ते आत्मा के बुरे भले कामों का ज्ञान दूसरी ओर आलस्य और स्वार्थपरक रही है। बस मनुष्य इन्हीं दोनों के बीच में पड़ा रहा है। अंत में यदि उसका मन पक्का हुआ, तो वह आत्मा की आज्ञा मानकर अपना धर्म पाालन करता है, पर उसका मन दुविधा में पड़ रह है, तो स्वार्थपरता उसे निश्चित ही घरेगी और उसका चरित्र घृणा के योग्य हो जायेगा। इसलिए यह बहुत आवश्यक है कि आत्मा जिस बात को करने की प्रवृत्ति दे, उसे बिना स्वार्थ सोचें, झटपट कर डालना चाहिए। इस संसार में जितने बड़े बड़े लोग हुए हैं सभी ने अपने कर्त्तव्य को सबसे श्रेष्ठ माना है, क्योंकि जितने कर्म उन्होंने किए उन सबने अपने कर्त्तव्य पर ध्यान देकर न्याय का बर्ताव किया। जिन जातियों में यह गुण पाया जाता है। वे ही संसार में उन्नति करती है और संसार में उनका नाम आदर से लिया जता है। जो लोग स्वार्थी होकर अपने कर्त्तव्य पर ध्यान नहीं देते, वे संसार में लज्जित होते हैं और सब लोग उनसे घृणा करते हैं।","","'निर्बलता' शब्द में उपसर्ग और प्रत्यय का सही विकल्प है-","","निर + बल + ता","","निर् + बल + ता","","निर बलत आ","","निर बल अता","b","'निर्बलता' शब्द में 'निर्' उपसर्ग 'ता' प्रत्यय एवं 'बल' मूल शब्द है अर्थात् विकल्प (b) निर्+ बल ता इसका सही उत्तर है। प्रत्यय शब्दों के बाद जो अक्षर या अक्षर समूह लगाया जाता है, उसे प्रत्यय कहते हैं। उदाहरण भला आई भलाई उपसर्ग- उपसर्ग उस शब्दांश या अव्यय को कहते हैं जो किसी शब्द के पहले आकर उसका विशेष अर्थ प्रकट करता है। उदाहरण प्रहार प्रहार, अन बन अनबन"
"39","Part-II","Hindi","धर्म पालन करने के मार्ग में सबसे अधिक बाधा चित्त की चंचलता, उद्देश्य की अस्थिरता और मन की निर्बलता से पड़ती है। मनुष्य के कर्तव्य मार्ग में एक ओर ते आत्मा के बुरे भले कामों का ज्ञान दूसरी ओर आलस्य और स्वार्थपरक रही है। बस मनुष्य इन्हीं दोनों के बीच में पड़ा रहा है। अंत में यदि उसका मन पक्का हुआ, तो वह आत्मा की आज्ञा मानकर अपना धर्म पाालन करता है, पर उसका मन दुविधा में पड़ रह है, तो स्वार्थपरता उसे निश्चित ही घरेगी और उसका चरित्र घृणा के योग्य हो जायेगा। इसलिए यह बहुत आवश्यक है कि आत्मा जिस बात को करने की प्रवृत्ति दे, उसे बिना स्वार्थ सोचें, झटपट कर डालना चाहिए। इस संसार में जितने बड़े बड़े लोग हुए हैं सभी ने अपने कर्त्तव्य को सबसे श्रेष्ठ माना है, क्योंकि जितने कर्म उन्होंने किए उन सबने अपने कर्त्तव्य पर ध्यान देकर न्याय का बर्ताव किया। जिन जातियों में यह गुण पाया जाता है। वे ही संसार में उन्नति करती है और संसार में उनका नाम आदर से लिया जता है। जो लोग स्वार्थी होकर अपने कर्त्तव्य पर ध्यान नहीं देते, वे संसार में लज्जित होते हैं और सब लोग उनसे घृणा करते हैं।","","'कायर' की भाववाचक संज्ञा है-","","कायरतत्व","","अकायरता","","कायरपन","","कायरता","d","'कायर' की भावावाचक संज्ञा 'कायरता' है। जिस शब्द से व्यक्ति या वस्तु के गुण, धर्म, दशा अथवा स्वभाव का बोध होता है, उसे भाववाचक संज्ञा कहते हैं। जैसे बचपन, थकावट, सुन्दरता, चोरी, मित्रता, उमंग आदि।"
"40","Part-II","Hindi","धर्म पालन करने के मार्ग में सबसे अधिक बाधा चित्त की चंचलता, उद्देश्य की अस्थिरता और मन की निर्बलता से पड़ती है। मनुष्य के कर्तव्य मार्ग में एक ओर ते आत्मा के बुरे भले कामों का ज्ञान दूसरी ओर आलस्य और स्वार्थपरक रही है। बस मनुष्य इन्हीं दोनों के बीच में पड़ा रहा है। अंत में यदि उसका मन पक्का हुआ, तो वह आत्मा की आज्ञा मानकर अपना धर्म पाालन करता है, पर उसका मन दुविधा में पड़ रह है, तो स्वार्थपरता उसे निश्चित ही घरेगी और उसका चरित्र घृणा के योग्य हो जायेगा। इसलिए यह बहुत आवश्यक है कि आत्मा जिस बात को करने की प्रवृत्ति दे, उसे बिना स्वार्थ सोचें, झटपट कर डालना चाहिए। इस संसार में जितने बड़े बड़े लोग हुए हैं सभी ने अपने कर्त्तव्य को सबसे श्रेष्ठ माना है, क्योंकि जितने कर्म उन्होंने किए उन सबने अपने कर्त्तव्य पर ध्यान देकर न्याय का बर्ताव किया। जिन जातियों में यह गुण पाया जाता है। वे ही संसार में उन्नति करती है और संसार में उनका नाम आदर से लिया जता है। जो लोग स्वार्थी होकर अपने कर्त्तव्य पर ध्यान नहीं देते, वे संसार में लज्जित होते हैं और सब लोग उनसे घृणा करते हैं।","","'अपना मतलब निकालने वाला' के लिए उचित शब्द क्या है?","","स्वार्थपरता","","स्वार्थी","","स्वार्थपरक","","कुटिल","b","दिए गए विकल्प में अपना मतलब निकालने वाला के लिए उचित शब्द है- स्वार्थी।"
"41","Part-II","Hindi","","","पंकज में कौन-सा समास है?","","द्विगु","","द्वन्द्व","","कर्मधारय","","बहुब्रीहि","d","पंकज में बहुब्रीहि समास है। बहुब्रीहि समास में पूर्व पद व उत्तर पद में से कोई भी प्रधान न होकर इनका संयुक्त भाव या अन्य अर्थ प्रधान होता है। 'पंकज' का समास विग्रह है- पंक अर्थात् कीचड़ में जन्म लेने वाला, स्पष्ट है इसका अर्थ 'कमल' है। अतः यहाँ बहुब्रीहि समास है। द्वन्द्व में दोनों पद प्रधान होत हैं तथा विग्रह करने पर 'और' योजक शब्द आता है। द्विगु संख्यावाची होता है। जो समूह या समाहार को प्रकट करता है। कर्मधारय में विशेषण- विशेष्य या 'उपमेय-उपमान' का भाव पूर्वपद एवं उत्तरपद के मध्य प्रकट हाता है। हिन्दी में छः समास माने जाते हैं।"
"42","Part-II","Hindi","","","अयोगवाह कहा जाता है-","","अनुस्वार एवं विसर्ग को","","महाप्राण को","","संयुक्त व्यंजन को","","अल्पप्राण को","a","अनुस्वार (अं) एवं विसर्ग (:) को अयोगवाह कहा जाता है क्योंकि इनकी प्रकृति न तो पूर्णतः स्वरों से मिलती है और न व्यंजनों से। जिसके कारण इनकी गणना न तो स्वरों में की जाती है और न ही व्यंजनों में इसीलिए इन्हें अयोगवाह कहा जाता है। प्रत्येक वर्ग का दूसरा तथा चौथा वर्ण तथा उष्म व्यंजन महाप्राण व्यंजन कहलाते हैं एवं प्रत्येक वर्ग का पहला, तीसरा तथा पाँचवाँ वर्ण और अंतस्थ व्यंजन अल्पप्राण कहलाते हैं। हिन्दी वर्णमाला में चार संयुक्त व्यंजन (क्ष, त्र, ज्ञ, श्र) भी होते हैं।"
"43","Part-II","Hindi","","","एक ओर अजगरहिं लखि एक ओर मृगराय। विकल बटोही बीच ही पर्यो मूरछा खाय।। इन पंक्तियों में प्रयुक्त रस है-","","वीर रस","","रौद्र रस","","भयानक रस","","करुण रस","c","एक ओर अजगरहिं लखि एक ओर मृगराय। विकल बटोही बीच ही पर्यो मूरछा खाय।। इस पंक्ति में भयानक रस है। किसी भयानक दृश्य को देखने स उत्पन्न भय के परिपक्व अवस्था को भयानक रस कहते हैं। इसका स्थायी भाव भय होता है। मुख्य रूप से नौ रस माने जाते हैं- (Table of ras and sthayi bhav follows)"
"44","Part-II","Hindi","","","'से' विभक्ति निम्न में से किस कारक के लिए प्रयुक्त होता है?","","कर्म","","कर्त्ता","","सम्बप्रदान","","करण","d","दिए गए विकल्प में 'से' विभक्ति चिह्न 'करण कारक' का है। संज्ञा या सर्वनाम के जिस रूप की सहायता से क्रिया सम्पन्न होती है, उसे करण कारक कहते हैं। हिन्दी में आठ कारक होते हैं- (Table of karak and vibhakti follows)"
"45","Part-II","Hindi","","","'उसने नहाकर भोजन किया' इस वाक्य में 'नहाकर' निम्नांकित में से किस क्रिया का उदाहरण है?","","प्रेरणार्थक क्रिया","","संयुक्त क्रिया","","द्विकर्मक क्रिया","","पूर्वकालिक क्रिया","d","'उसने नहाकर भोजन किया' इस वाक्य में 'नहाकर' पूर्वकालिक क्रिया का उदाहरण है। जब कर्ता एक क्रिया को समाप्त करके तत्काल दूसरी क्रिया प्रारम्भ करता है,  पहली क्रिया को पूर्वकालिक क्रिया कहते हैं। जैसे- खाकर, पीकर, सोकर, चलकर इत्यादि। जब दो क्रियाएँ संयुक्त होकर एक क्रिया का भाव प्रकट करें जैसे भाग जाना, मार खाना, डर जाना आदि तो ऐसी क्रिया को संयुक्त क्रिया कहते हैं। जब कर्त्ता क्रिया का सम्पादन स्वयं न कर किसी अन्य से करवाता है तो उसे प्रेरणार्थक क्रिया कहते हैं। जैसे- पकवाना, पकड़वाना, मरवाना आदि।"
"46","Part-II","Hindi","","","कौन-सा वाक्य शुद्ध है?","","परशुराम के क्रोधाग्नि ने क्षत्रियों को जला दिया।","","खेतों में लम्बे-लम्बे घास उग आए।","","गलियों को चौड़ा करना आवश्यक है।","","वृक्षों पर कोयल कूक रही है।","c","'गलियों का चौड़ा करना आवश्यक है' वाक्य शुद्ध है शेष का शुद्ध रूप क्रमशः इस प्रकार होगा- • खेतों में लम्बे-लम्बे घास उग आए (अशुद्ध) • खेतों में लम्बी-लम्बी घास उग आई (शुद्ध) • परशुराम के क्रोधाग्नि ने क्षत्रियों को जला दिया (अशुद्ध) • परशुराम की क्रोधाग्नि ने क्षत्रियों को जला दिया (शुद्ध) • वृक्षों पर कोयल कूक रही है। (अशुद्ध) • वृक्ष पर कोयल कूक रही है। (शुद्ध)"
"47","Part-II","Hindi","","","विद्यार्थी में कौन-सी सन्धि है?","","वृद्धि संधि","","दीर्घ संधि","","गुण संधि","","यण संधि","b","विद्यार्थी (विद्या + अर्थी) में दीर्घ स्वर संधि है। जब हस्व या दीर्घ अ, इ, उ के बाद यदि हस्व या दीर्घ अ, इ, उ आ जाएँ  दोनों मिलकर दीर्घ आ, ई और ऊ हो जाते हैं। जैसे विद्या + आलय = विद्यालय (आ+आ=आ) गिरि + ईश = गिरीश (इ+ई=ई) वधू + उत्सव = वधूत्सव (ऊ+उ=ऊ) वृद्धि संधि- यदि 'अ' या 'आ' के बाद 'ए' या 'ए' आए तो दोनों के स्थान पर 'ऐ' और 'ओ' या 'औ' आए तो दोनों के स्थान पर 'औ' हो जाता है। उदाहरण एक एक = एकैक गुण संधि - यदि 'अ' 'आ' के बाद 'इ' 'ई', 'उ' या 'ऊ' और ऋ'' आए तो दोनों मिलकर ए, ओ, अर् हो जाता है। उदाहरण देव इन्द्र = देवेन्द्र। यण संधि यदि 'ई' 'ई' 'उ' 'ऊ' 'ऋ' के बाद कोई भिन्न स्वर आए तो 'इ' का 'य्' 'उ-ऊ' का 'व' और 'ऋ' का 'र' हो जाता है। उदाहरण प्रति एक प्रत्येक।"
"48","Part-II","Hindi","","","'कानन' का पर्यायवाची शब्द है-","","विहिप","","पुष्प","","वन","","इनमें से कोई नहीं","c","'कानन' का पर्यायवाची शब्द वन, अरण्य, विपिन, कांतार, जंगल, विटप इत्यादि है। पुष्प का पर्याय फूल, सुमन, कुसुम, मंजरी, प्रसून, पुहुप आदि है। विहिप इसका कोई पर्यायवाची नहीं है (यह विश्व हिन्दू का संक्षेपण है।)"
"49","Part-II","Hindi","","","'वाक्य विग्रह' का अर्थ है-","","वाक्य रचना करना।","","शब्दों को जोड़ना।","","वाक्य खंडों को अलग-अलग करके उनका सम्बन्ध बताना।","","संधि और समास बताना।","c","वाक्य खंडों को अलग-अलग करके उनका सम्बन्ध बताना 'वाक्य विग्रह' कहलाता है।"
"50","Part-II","Hindi","","","बिनु पग चलै सुनै बिनु काना, कर बिनु कर्म करै विधि नाना। इन पंक्तियों में प्रयुक्त अलंकार है-","","विशेषाक्ति अलंकार","","विभावना अलंकार","","असंगति अलंकार","","दृष्टांत अलंकार","b","बिनु पग चलै सुनै बिनु काना, कर बिनु कर्म करै विधि नाना। में विभावना अलंकार है। उपर्युक्त उदाहरण में कारण न होते हुए भी कार्य का होना बताया जा रहा है। बिना पैर के चलना, बिना कान के सुनना, बिना हाथ के नाना कर्म करना बताया गया है। अतः यहाँ विभावना अलंकार है और जहाँ कारण के होते हुए कार्य नहीं होता, वहाँ विशेषाक्ति अलंकार होता है। विशेषोक्ति अलंकार- कारण के उपस्थित होने पर भी कार्य न होने की दशा में विशेषाक्ति अलंकार माना जाता है। उदाहरण- पानी बिच मीन पियासी। असंगति अलंकार- जहाँ कार्य और करण में संगति न हो, वहाँ असंगति अलंकार होता है। उदाहरण- दृग उरात टूटत कुटुम, जुरत चतुरचित प्रिति । परत गांठ दुरजन हिये दई नई यह रीति।। दृष्टांत अलंकार - जहाँ उपमेय और उपमान के साधारण धर्म का बिम्ब प्रतिबिम्ब भाव दर्शित किया जाये तथा वाचक शब्द का उल्लेख न  , वहाँ दृष्टांत अलंकार होता है। उदाहरण- सठ सधुरहि सत संगति पाई। पारस परसि कुधातु सुहाई ।।"
"51","Part-II","Hindi","","","सूफी संतों की शैली है-","","मसनवी","","मर्सिया","","राजल","","तर्जुमा","a","सूफी संतों की शैली मसनवी शैली है। इसके अंतर्गत सर्वप्रथम ईश्वरवंदना, हजरत मोहम्मद की स्तुति, तात्कालीन शासक की प्रशंसा तथा गुरु की महिमा का निरूपण है। इसका प्रयोग हिन्दी में प्रेममार्गी कवियों ने अपने काव्य में किया। प‌द्मावत (जायसीकृत) इसका उत्तम उदाहरण है।"
"52","Part-II","Hindi","","","'गुड़िया भीतर गुड़िया' के रचनाकार कौन हैं?","","मैत्रेयी पुष्पा","","कृष्णा सोबती","","प्रभा खेतान","","उषा प्रियंवदा","a","'गुड़िया भीतर गुड़िया' के रचनाकार मैत्रेयी पुष्पा हैं। यह उनकी आत्मकथा का दूसरा भाग है। इसका प्रथम भाग है- कस्तूरी कुण्डल बसे। ध्यातव्य है कि प्रसिद्ध आत्मकथा 'अन्या से अनन्या' के रचनाकार प्रभा खेतान जी हैं।"
"53","Part-II","Hindi","","","'सौ अजान एक सुजान' के रचनाकार का नाम है-","","बालकृष्ण भट्ट","","बदरीनारायण चौधरी","","बालमुकुन्द गुप्त","","सरदार पूर्ण सिंह","a","'सौ अजान एक सुजान' के रचनाकार बालकृष्ण भट्ट जी हैं। यह इनका प्रसिद्ध उपन्यास है। इनके अन्य उपन्यास नूतन ब्रह्मचारी और रहस्यकथा है।"
"54","Part-II","Hindi","","","गोस्वामी तुलसीदास का निधन वाराणसी के किस घाट पर हुआ?","","अस्सी घाट","","दशाश्वमेध घाट","","राम घाट","","मणिकार्णिका घाट","a","गोस्वामी तुलसीदास का निधन वाराणसी के अस्सी घाट पर हुआ। इनके संदर्भ में प्रसिद्ध पंक्ति है कि- संवत् सोलह सौ असी, असी गंग के तीर। श्रावण शुक्ल सप्तमी तुलसी तज्यो शरीर।।"
"55","Part-II","Hindi","","","'भक्तमाल' के रचनाकार हैं-","","केशव दास","","नाभा दास","","विष्णु दास","","सुन्दर दास","b","भक्तमाल के रचनाकार नाभादास जी हैं। भक्तिकालीन कवियों में स्वामी अग्रदास के शिष्य नाभादास की प्रसिद्ध रचना 'अष्टयाम' भी है। केशवदास की प्रमुख रचनायें कविप्रिया, रसिकप्रिया, रामचन्द्रिका आदि है तथा सुन्दरदास की 'सुन्दर विलास', 'ज्ञान समुद्र' आदि है।"
"56","Part-II","Hindi","","","'सुई' का तत्सम रूप क्या है?","","सूचि","","सुज्जा","","सलाई","","सूची","a","'सुई' का तत्सम रूप 'सूचि' है। संस्कृत भाषा के वे शब्द जां बिना परिवर्तित किये ज्यों के त्यों हिन्दी भाषा में प्रयोग किये जाते हैं। तत्सम कहलाते हैं। जैसे कार्य, मयूर, सूर्य आदि।"
"57","Part-II","Hindi","","","'परिसीमन' का विलोम है-","","निरसीमन","","ससीम","","असीमन","","ससीमन","c","'परिसीमन' का विलोम 'असीमन' होगा। परिसीमन का अर्थ सीमा निश्चित कर देना तथा असीमन का अर्थ सीमा निश्चित न होना।"
"58","Part-II","Hindi","","","'धूसर' शब्द का पर्याय है-","","मेघ","","अश्व","","गर्दभ","","अजा","c","'धूसर' शब्द का पर्याय 'गर्दभ' हैं, इसके अन्य पर्याय शब्द खर, गदहा, रासभ, बेशर, चक्रीवान, वैशाखनन्दन है। प्रश्नगत अन्य विकल्प के पर्यायवाची शब्द निम्नलिखित हैं- मेघ वारिद, बादल, वारिधर, अम्बुद, पयोधर आदि। अश्व वाजि, हय, घाटक, घोड़ा, सैन्धव, तुरंग आदि। अजा बकरी, जन्मरहित, शक्ति, दुर्गा, छेरी आदि।"
"59","Part-II","Hindi","","","'भूतों अर्थात् जीवों द्वारा होने वाला (दुख)' वाक्य के लिए एक शब्द बताइये।","","आधिभौतिक","","आधिदैविक","","आधिदैहिक","","आत्मघाती","a","'भूतों अर्थात् जीवों द्वारा होने वाला (दुख)' वाक्यांश के लिए एक शब्द 'आधिभौतिक' है। देव अथवा प्रकृति द्वारा होने वाले दुख आधिदैविक देह या शरीर के द्वारा होने वाले दुख आधिदैहिक ऐसा कार्य जो स्वयं के लिए घातक हो आत्मघाती।"
"60","Part-II","Hindi","","","'ऊँट की चोरी निहुरे निहुरे' का अर्थ है-","","बड़े काम छिपकर नहीं किये जा सकते।","","जान जोखिम में डालना।","","उदंड व्यक्ति की दुष्टता।","","किसी की वस्तु किसी दूसरे को देना।","a","'ऊँट की चोरी निहुरे निहुरे' का अर्थ है- बड़े काम छिपकर नहीं किये जा सकते। शेष विकल्प असंगत हैं।"
"61","Part-III","English","","Bees are kept in","","A nursery","","A pantry","","An apiary","","An aquarium","","c","'मधुमक्खियों' के रखने वाले स्थान को 'Apiary' बोलते हैं। जा कि option (c) में दिया गया है। शेष तीन विकल्प इस प्रकार है- Pantry - रसाई भंडार, Nursery - पेड़ पौधों को रखने का स्थान, Aquarium - मछलियों को रखने का स्थान"
"62","Part-III","English","","The idiom 'green-eyed monster' means","","To be sick","","To be jealous","","To be angry","","To be blind","","b","दिये गये Idiom ""Green-eyed monster"" का अर्थ 'ईष्यालु व्यक्ति' होता है जोकि विकल्प (b) में दिया गया है। अतः सही विकल्प (b) To be jealous' होगा।"
"63","Part-III","English","","Select the sentence in which the article has been wrongly used.","","Twelve inches make a foot.","","He is a M.A.","","A pupil should obey his teacher.","","He is a European.","","b","दिये गये विकल्पों में विकल्प (b) में गलत 'Article का प्रयोग हुआ है क्योंकि इस वाक्य में M.A. में पहले Vowel sound Pronounce किया जाता है तथा Vowel sound के साथ Article 'An' का प्रयोग होता है। अतः सही विकल्प (b) है।"
"64","Part-III","English","","Pick the correct question tag from the options. People shouldn't drink and drive, ...","","should not they?","","should they?","","isn't it?","","shall they?","","b","दिय गय sentence के रिक्त स्थान में विकल्प (b) ""should they?"" का प्रयोग होगा क्योंकि अगर sentence का पहला भाग 'positive' हो तो उसका Question Tag Negative होगा, और नकारात्मक वाक्य का positive में बनता है। जैस- People shouldn't drink and drive, should they? अतः सही विकल्प (b) है। शेष तीनों विकल्प अभीष्ट नहीं है।"
"65","Part-III","English","","Point out the part has an error in the sentence. You are learning English(A)/for the last one year(B)/but you show(C)/no improvement at all.(D)","","B","","A","","C","","D","","b","दिय गये sentence के पहले भाग में Tense की गलती है। क्योंकि वाक्य Present continuous में ना होकर Present perfect continuous tense से यह ज्ञात होता है कि कार्य past में शुरू होता है और वर्तमान में जारी है... जैसे इस वाक्य में For the last one year' दिया गया है... अतः सही विकल्प (b) A है। You have been learning English for the last one year but you show no improvement at all."
"66","Part-III","English","Work expands so as to fill the time available for its completion. The general recognition of this fact is shown in the proverbial phrase, 'It is the busiest man who has time to spare.' Thus, an elderly lady at leisure can spend the entire day writing a postcard to her niece. An hour will be spent in finding the postcard, another hunting for spectacles, half an hour to search for the address, an hour and a quarter in composition and twenty minutes in deciding whether or not to take an umbrella when going to the pillar box to the street. The total effort that would occupy a busy man for three minutes, all told, may it this fashion leave another person completely exhausted after a day of doubt, anxiety and toil.","What is the total time spent by the elderly lady in writing a postcard?","","A full day","","Three minutes","","Four hours and five minutes","","Half an hour","","a","दिये गये passage के अनुसार बुजुर्ग महिला को एक post card लिखने में एक पूरा दिन लग जाते हैं। जा कि विकल्प (a) में दिया गया है। शेष तीनों विकल्प अभीष्ट नहीं है।"
